Company Name,Website,Linkedin URL
"Advanced Cooling Technologies, Inc.",https://www.1-act.com/industries/space/,https://www.linkedin.com/company/advanced-cooling-technologies/
AEi Systems,https://www.aeng.com/,https://www.linkedin.com/company/aeisystems/about/
"Aerospace Fabrication & Materials, LLC",https://aerospacefab.com/,https://www.linkedin.com/company/aerospace-fabrication-&-materials-llc/
Aitech Systems,https://aitechsystems.com/,https://www.linkedin.com/company/aitech/
Aspina,https://us.aspina-group.com/en/,https://www.linkedin.com/company/aspina-america/
"ASTER Labs, Inc",https://www.asterlabs.com/main.html,https://www.linkedin.com/company/aster-labs-inc-/about/
Astro- und Feinwerktechnik Adlershof GmbH,https://www.astrofein.com/,https://www.linkedin.com/company/astrofein-astro-und-feinwerktechnik-adlershof-gmbh/
Axient,https://axientcorp.com/,https://www.linkedin.com/company/axientcorp/
Canon,https://www.usa.canon.com/content/canon/en/pro/forms/satellite.html,https://www.linkedin.com/company/canonusa/
Concepts NREC,https://www.conceptsnrec.com/home,https://www.linkedin.com/company/concepts-nrec/
Crystal Instruments,https://www.crystalinstruments.com/,https://www.linkedin.com/company/crystal-instruments/
Dentons US,https://www.dentons.com/en/,https://www.linkedin.com/company/dentons/
DEWESoft,https://dewesoft.com/,https://www.linkedin.com/company/dewesoft-daq/
Diamond USA,https://www.diamond-fo.com/,https://www.linkedin.com/company/diamond-sa/
Dora Factory,https://dorafactory.org/,https://www.linkedin.com/company/dorafactory/about/
Eaton,https://www.eaton.com/us/en-us.html,https://www.linkedin.com/company/eaton/
Edwards Vacuum,https://www.edwardsvacuum.com/en-uk,https://www.linkedin.com/company/edwards/
EMPC,https://empc.com/,https://www.linkedin.com/company/empc/about/
ESI Motion,https://esimotion.com/,https://www.linkedin.com/company/esi-motion/
Flight Works,https://www.flightworksinc.com/landingpage/,https://www.linkedin.com/company/flight-works-inc-/?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A2514726521409156269132%2CVSRPtargetId%3A3570122%2CVSRPcmpt%3Aprimary
Green Circuits,https://www.greencircuits.com/,https://www.linkedin.com/company/greencircuits/
"IDEAS Engineering & Technology, LLC",https://www.ideas-tek.com/,https://www.linkedin.com/company/ideas-tek/
"Infinite Technologies RCS, Inc.",https://compositeradomes.com/,
Integrate,https://integrate.co/,https://www.linkedin.com/company/integrate-co/about/
Japan Space Systems,https://www.jspacesystems.or.jp/en/,https://www.linkedin.com/company/japan-space-systems/about/
Kimball Electronics,https://www.kimballinc.com/,https://www.linkedin.com/company/kimball-distributing/
"Labsphere, Inc.",https://www.labsphere.com/,https://www.linkedin.com/company/labsphere-inc./
LACO Technologies,https://lvs.lacotech.com/,https://www.linkedin.com/company/laco-technologies/
"Libration Systems Management, Inc. (LSM)",https://www.librationsystems.com/,https://www.linkedin.com/company/librationsystems/
"Liscotech System Co., Ltd",https://www.liscotech.com/,https://www.linkedin.com/company/liscotech/
"M2 Antenna Systems, Inc.",https://www.m2inc.com/,https://www.linkedin.com/company/m2-antenna-systems-inc/
MegaPhase,https://megaphase.com/,https://www.linkedin.com/company/megaphasellc/
MJS Designs,https://mjsdesigns.com/,https://www.linkedin.com/company/mjs-designs-inc-/
Motiv Space Systems,https://motivss.com/,https://www.linkedin.com/company/motiv-space-systems-inc-/about/
Mudd Law,https://www.muddlawoffices.com/,https://www.linkedin.com/company/muddlaw/
NASA Advanced Multi-Mission Operations System (AMMOS),https://ammos.nasa.gov/,
NASA Goddard Space Flight Center,https://smallsat.wff.nasa.gov/,https://www.linkedin.com/company/nasa-goddard-space-flight-center/
NASA Johnson Space Center,https://www.nasa.gov/johnson/,
NASA Langley Research Center,https://www.nasa.gov/langley/,https://www.linkedin.com/company/nasa-langley-research-center/
NASA Marshall Space Flight Center,https://www.nasa.gov/marshall/,https://www.linkedin.com/company/nasa%E2%80%99s-marshall-space-flight-center/about/
NASA Office of Inspector General,https://oig.nasa.gov/,https://www.linkedin.com/company/nasa-oig/
NASA Science,https://science.nasa.gov/,
NASA Space Launch System,https://www.nasa.gov/humans-in-space/space-launch-system/,
NASA Space Technology Mission Directorate (STMD),https://www.nasa.gov/smallspacecraft/,
National Reconnaissance Office,https://www.nro.gov/,https://www.linkedin.com/company/nro-gov/
"NeXolve Holding Company, LLC",https://nexolve.com/,https://www.linkedin.com/company/nexolve/
Nexus PCB,https://www.nexuspcb.com/,
NPC Spacemind,https://www.npcspacemind.com/,https://www.linkedin.com/company/npc-spacemind/
Nye Lubricants - Member of the FUCHS Group,https://www.nyelubricants.com/,https://www.linkedin.com/company/nye-lubricants/
OpenC3,https://openc3.com/,https://www.linkedin.com/company/openc3/about/
Opterus Research and Development,https://www.opterusrd.com/,https://www.linkedin.com/company/opterus/
"Optical Support, Inc.",https://opticalsupportinc.com/,https://www.linkedin.com/company/optical-support-inc./
"Orbital Transports, Inc",https://www.orbitaltransports.com/,https://www.linkedin.com/company/orbital-transports/
Pinkmatter,https://pinkmatter.com/,https://www.linkedin.com/company/pinkmatter/?originalSubdomain=za
Quartus Engineering,https://www.quartus.com/,https://www.linkedin.com/company/quartus-engineering/
RdF Corporation,https://rdfcorp.com/,https://www.linkedin.com/company/rdf-corporation/about/
"Reactel, Incorporated",https://www.reactel.com/,https://www.linkedin.com/company/reactel-incorporated/about/
"Redline Chambers, Inc.",https://www.redlinechambers.com/,https://www.linkedin.com/company/redline-chambers/
Renesas,https://www.renesas.com/us/en/products/space-harsh-environment,https://www.linkedin.com/company/renesas/
Rohde & Schwarz,https://www.rohde-schwarz.com/solutions/satellite-testing/satellite-testing_233626.html,https://www.linkedin.com/company/rohde-schwarz/
"Rydberg Vacuum Sciences, Inc.",https://www.rvs-tvac.com/,https://www.linkedin.com/company/rydberg-vacuum-sciences-inc/
Samtec,https://www.samtec.com/,https://www.linkedin.com/company/samtec-inc/
Southwest Research Institute,https://www.swri.org/industries/space-research-technology,https://www.linkedin.com/company/southwest-research-institute/
Space Dynamics Laboratory,http://www.sdl.usu.edu,https://www.linkedin.com/company/space-dynamics-laboratory/
Space Flight Laboratory (SFL),https://www.utias-sfl.net/,
Space Operations New Zealand,https://www.spaceops.nz/,https://www.linkedin.com/company/spaceops-nz/
"Space: Science & Technology, a Science Partner Journal",https://spj.science.org/journal/space,
Spirit Electronics,www.spiritelectronics.com/,https://www.linkedin.com/company/spirit-electronics/
Summit Interconnect,https://summitinterconnect.com/,https://www.linkedin.com/company/summit-interconnect/
Teledyne Space Imaging,https://www.teledyneimaging.com/en/aerospace-and-defense/,https://www.linkedin.com/showcase/teledyne-space-imaging/
"Thermal Management Technologies, L.L.C.",https://www.tmt-ipe.com/,https://www.linkedin.com/company/thermal-management-technologies/
Triad Micro Devices,https://triadmicrodevices.com/,https://www.linkedin.com/company/triad-semiconductor/
U.S. Naval Research Laboratory,https://www.nrl.navy.mil/,https://www.linkedin.com/company/usnrl/
Vibration Research Corporation,https://vibrationresearch.com/,https://www.linkedin.com/company/vibration-research-corporation/about/
VPT Rad,https://vptrad.com/,https://www.linkedin.com/company/vpt-rad/
"Xanfab, Inc",https://www.xanfab.com/,https://www.linkedin.com/company/xanfab-inc./
XTERRA Space,https://www.xterra.space/,https://www.linkedin.com/company/xterra-space/
